,Name,symbol,Emissions (tCO2e),PARENT CO. PERCENT OWNERSHIP
DEVON ENERGY CORP,220 Gulf Coast Basin DEC,DVN,586008.596,100.0
DEVON ENERGY CORP,515 Powder River Basin DEC,DVN,143835.39,100.0
DEVON ENERGY CORP,430 Permian Basin GB DEC,DVN,121503.954,100.0
DEVON ENERGY CORP,530 Wind River GB DEC,DVN,47260.38,100.0
DIAMONDBACK ENERGY INC,Diamondback E&P LLC,FANG,1192555.846,100.0
DOMINION ENERGY INC,Gordonsville Power Station,D,539766.998,100.0
DOMINION ENERGY INC,Jasper County Generating Facility,D,2026463.202,100.0
DOMINION ENERGY INC,Gravel Neck Combustion Turbine,D,102732.638,100.0
DOMINION ENERGY INC,Darbytown Combustion Turbine,D,73467.042,100.0
DOMINION ENERGY INC,Elizabeth River Combustion Turbine Sta,D,57265.318,100.0
DOMINION ENERGY INC,Rosemary Power Station,D,2826.554,100.0
DOMINION ENERGY INC,Bear Garden Generating Station,D,1640546.208,100.0
DOMINION ENERGY INC,Virginia City Hybrid Energy Center,D,828519.6,100.0
DOMINION ENERGY INC,McMeekin,D,506974.308,100.0
DOMINION ENERGY INC,Urquhart,D,817323.664,100.0
DOMINION ENERGY INC,Wateree,D,812700.016,100.0
DOMINION ENERGY INC,Williams,D,2479793.962,100.0
DOMINION ENERGY INC,Chesterfield Power Station,D,2315074.828,100.0
DOMINION ENERGY INC,Possum Point Power Station,D,1466181.782,100.0
DOMINION ENERGY INC,Mount Storm Power Station,D,4701807.75,100.0
DOMINION ENERGY INC,Cope Station,D,632746.19,100.0
DOMINION ENERGY INC,Clover Power Station,D,1309217.706,50.0
DOMINION ENERGY INC,Ladysmith Combustion Turbine Sta,D,621932.584,100.0
DOMINION ENERGY INC,Remington Combustion Turbine Station,D,383459.076,100.0
DOMINION ENERGY INC,Yorktown Power Station,D,57199.414,100.0
DOMINION ENERGY INC,Dominion Energy Ohio - Robinson Station (Stor),D,17911.188,100.0
DOMINION ENERGY INC,Dominion Energy Questar - Oak Spring Station (Tran),D,61148.372,100.0
DOMINION ENERGY INC,Dominion Energy Questar - Clay Basin (Stor and Proc),D,52376.112,100.0
DOMINION ENERGY INC,PSNC,D,54076.85,100.0
DOMINION ENERGY INC,SCE&G Gas Operations,D,43949.65,100.0
DOMINION ENERGY INC,Dominion Energy Ohio - The East Ohio Gas Co (Dist) (Ohio),D,589797.6,100.0
DOMINION ENERGY INC,Dominion Hope Gas West Virginia,D,69746.75,100.0
DOMINION ENERGY INC,Dominion Energy Questar Gas Company (Dist) (Utah),D,94681.196,100.0
DOMINION ENERGY INC,COVE POINT LNG FACILITY,D,1125388.18,100.0
DOMINION ENERGY INC,Dominion Energy Questar - Rock Springs Station (Tran),D,86442.664,100.0
DOMINION ENERGY INC,Dominion Energy Questar Gas Company (Dist) (Wyoming),D,2999.1,100.0
DOMINION ENERGY INC,Columbia Energy Center (SC),D,1288488.528,100.0
DOMINION ENERGY INC,Dominion Energy Wexpro - Central Western Overthrust (Prod),D,85250.792,100.0
DOMINION ENERGY INC,Dominion Energy Wexpro - Green River Basin (Prod),D,307622.876,100.0
DOMINION ENERGY INC,Virginia Electric and Power Company,D,30973.8,100.0
DOMINION ENERGY INC,Dominion Energy Ohio - Chippewa Station (Stor),D,23861.324,100.0
DOMINION ENERGY INC,Warren County Power Station,D,3405932.28,100.0
DOMINION ENERGY INC,Brunswick County Power Station,D,3759544.92,100.0
DOMINION ENERGY INC,Dominion Energy Ohio - Switzerland Station (Tran),D,30765.808,100.0
DOMINION ENERGY INC,Dominion Energy Ohio - Appalachian Basin (Gath),D,81165.704,100.0
DOMINION ENERGY INC,Dominion Energy Wexpro - Green River Basin (Gath),D,75600.694,100.0
DOMINION ENERGY INC,Dominion Energy Questar - Transmission Pipelines (TPL),D,4307.4825941,100.0
DOMINION ENERGY INC,Greensville County Power Station,D,3809448.732,100.0
DOMINION ENERGY INC,Dominion Energy Questar - Blind Canyon Station (Tran),D,33142.288,100.0
DOMINION ENERGY INC,Dominion Energy Questar - Thistle Creek Station (Tran),D,20536.724,100.0
DOMINION ENERGY INC,Dominion Energy Ohio - Transmission Pipelines (TPL),D,8104.6147728,100.0
DOW INC,UCC South Charleston Plant,DOW,100468.772,100.0
DOW INC,Plaquemine Cogen Facility,DOW,2912689.966,100.0
DOW INC,SRW Cogen Limited Partnership,DOW,1177670.664,100.0
DOW INC,The Dow Chemical Company,DOW,36514.17,100.0
DOW INC,DOW TEXAS OPERATIONS FREEPORT,DOW,4670182.2299999995,100.0
DOW INC,ROHM AND HAAS TEXAS DEER PARK PLANT,DOW,321131.306,100.0
DOW INC,Dow Corning Corporation - Midland Site,DOW,30026.48,100.0
DOW INC,ROHM AND HAAS CHEMICALS LLC,DOW,34829.568,100.0
DOW INC,DOW SILICONES CORPORATION,DOW,160209.848,100.0
DOW INC,UCC SEADRIFT OPERATIONS,DOW,808888.588,100.0
DOW INC,SABINE RIVER OPERATIONS,DOW,1217885.184,100.0
DOW INC,The Dow Chemical Company -- Louisiana Operations,DOW,2092724.132,100.0
DOW INC,Promix Fractionation Facility,DOW,152948.93,50.0
DOW INC,"WVA Manufacturing, LLC",DOW,475669.338,49.0
DOW INC,St Charles Operations (Taft/Star) Union Carbide Corp,DOW,2803151.6,100.0
DOW INC,DC Alabama Inc.,DOW,91752.1,100.0
DOW INC,Corteva agriscience - Pittsburg Operations,DOW,40855.896,0.0
DOW INC,Union Carbide Corporation-Institute,DOW,649.948,100.0
DTE ENERGY CO,DTE East China,DTB,464192.88,100.0
DTE ENERGY CO,Procter & Gamble Company - Ivorydale,DTB,102136.316,18.7
DTE ENERGY CO,"DTE Calvert City, LLC",DTB,189639.236,100.0
DTE ENERGY CO,Delray,DTB,22672.016,100.0
