IEFA: iShares Core MSCI EAFE ETF
Inception Date: 2012-10-18
Fund Holdings as of: 2022-04-13
Total Assets Under Management (in thousands):	98741000
Shares Outstanding: 1445600000
Expense Ratio: 0.07%
Tracks This Index: MSCI EAFE Investable Market Index
ETF Database Category: Foreign Large Cap Equities
Issuer: Blackrock Financial Management
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IEFA


Holding,Symbol,Weighting
Aviva plc,AV,0.11%
ArcelorMittal SA,MT,0.11%
"Techtronic Industries Co., Ltd.",669,0.11%
Credit Suisse Group AG,CSGN,0.11%
Swiss Life Holding AG,SLHN,0.11%
DNB Bank ASA,DNB,0.11%
Terumo Corporation,4543,0.11%
FUJIFILM Holdings Corp,4901,0.11%
Japan Tobacco Inc.,2914,0.11%
Komatsu Ltd.,6301,0.11%
Geberit AG,GEBN,0.11%
Legal & General Group Plc,LGEN,0.11%
"Mitsui Fudosan Co., Ltd.",8801,0.11%
Neste Corporation,NESTE,0.11%
Societe Generale S.A. Class A,GLE,0.11%
Imperial Brands PLC,IMB,0.11%
Panasonic Holdings Corporation,6752,0.11%
"Shiseido Company,Limited",4911,0.11%
Mitsubishi Electric Corp.,6503,0.1%
Coloplast A/S Class B,COLO.B,0.1%
South32 Ltd.,S32,0.1%
Link Real Estate Investment Trust,823,0.1%
Evolution AB,EVO,0.1%
CK Hutchison Holdings Ltd,1,0.1%
Newcrest Mining Limited,NCM,0.1%
Universal Music Group N.V.,UMG,0.1%
Skandinaviska Enskilda Banken AB Class A,SEB.A,0.1%
Coles Group Ltd.,COL,0.1%
Kao Corp.,4452,0.1%
Kubota Corporation,6326,0.1%
Sumitomo Corporation,8053,0.1%
Santos Limited,STO,0.1%
UPM-Kymmene Oyj,UPM,0.1%
Flutter Entertainment Plc,FLTR,0.1%
Central Japan Railway Company,9022,0.1%
"JAPAN POST HOLDINGS Co., Ltd.",6178,0.09%
Siemens Healthineers AG,SHL,0.09%
Shimano Inc.,7309,0.09%
CLP Holdings Limited,2,0.09%
"M3, Inc.",2413,0.09%
Kyocera Corporation,6971,0.09%
3i Group plc,III,0.09%
Kerry Group Plc Class A,KRZ,0.09%
SGS SA,SGSN,0.09%
NatWest Group Plc,NWG,0.09%
CNH Industrial NV,CNHI,0.09%
NIBE Industrier AB Class B,NIBE.B,0.09%
KBC Group N.V.,KBC,0.09%
Standard Chartered PLC,STAN,0.09%
Atlas Copco AB Class B,ATCO.B,0.09%
Marubeni Corporation,8002,0.09%
Swisscom AG,SCMN,0.09%
"Asahi Group Holdings,Ltd.",2502,0.09%
Kone Oyj Class B,KNEBV,0.09%
East Japan Railway Company,9020,0.09%
"Mitsubishi Estate Company, Limited",8802,0.09%
Singapore Telecommunications Limited TEMP,Z78,0.09%
Fresenius SE & Co. KGaA,FRE,0.08%
Eurofins Scientific Societe Europeenne,ERF,0.08%
Croda International Plc,CRDA,0.08%
Bank Leumi Le-Israel Ltd.,LUMI,0.08%
Straumann Holding AG,STMN,0.08%
arGEN-X SE,ARGX,0.08%
"Hang Seng Bank, Limited",11,0.08%
Svenska Handelsbanken AB Class A,SHB.A,0.08%
ASM International N.V.,ASM,0.08%
Unicharm Corporation,8113,0.08%
Swedbank AB Class A,SWED.A,0.08%
Check Point Software Technologies Ltd.,CHKP,0.08%
Novozymes A/S Class B,NZYM.B,0.08%
Essity AB Class B,ESSITY.B,0.08%
Symrise AG,SY1,0.08%
Toshiba Corporation,6502,0.08%
Kingspan Group Plc,KRX,0.08%
UCB S.A.,UCB,0.08%
Smith & Nephew PLC,SN,0.08%
Thales SA,HO,0.08%
Akzo Nobel N.V.,AKZA,0.08%
"Shionogi & Co., Ltd.",4507,0.08%
"Secom Co., Ltd.",9735,0.08%
CaixaBank SA,CABK,0.08%
Aristocrat Leisure Limited,ALL,0.08%
Roche Holding Ltd,RO,0.08%
BOC Hong Kong (Holdings) Limited,2388,0.08%
A.P. Moller - Maersk A/S Class B,MAERSK.B,0.08%
Kuehne & Nagel International AG,KNIN,0.08%
EDP-Energias de Portugal SA,EDP,0.08%
Boliden AB,BOL,0.08%
NN Group N.V.,NN,0.08%
WPP Plc,WPP,0.08%
