VEA: Vanguard FTSE Developed Markets ETF
Inception Date: 2007-07-20
Fund Holdings as of: 2022-02-28
Total Assets Under Management (in thousands):	105776000
Shares Outstanding: 2239580000
Expense Ratio: 0.05%
Tracks This Index: FTSE Developed ex US All Cap Net Tax (US RIC) Index
ETF Database Category: Foreign Large Cap Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VEA


Holding,Symbol,Weighting
Compagnie Generale des Etablissements Michelin SCA,ML,0.11%
Deutsche Bank AG,DBK,0.11%
SSE plc,SSE,0.11%
Sampo Oyj Class A,SAMPO,0.11%
Flutter Entertainment Plc,FLTR,0.11%
Assicurazioni Generali S.p.A.,G,0.11%
Central Japan Railway Company,9022,0.11%
Bridgestone Corporation,5108,0.1%
Agnico Eagle Mines Limited,AEM,0.1%
"Chugai Pharmaceutical Co., Ltd.",4519,0.1%
Orange SA,ORA,0.1%
Kakao Corp.,035720,0.1%
Teleperformance SA,TEP,0.1%
"Waste Connections, Inc.",WCN,0.1%
LG Chem Ltd.,051910,0.1%
Canon Inc.,7751,0.1%
DNB Bank ASA,DNB,0.1%
FUJIFILM Holdings Corp,4901,0.1%
Sandvik AB,SAND,0.1%
Japan Tobacco Inc.,2914,0.1%
Geberit AG,GEBN,0.1%
Legal & General Group Plc,LGEN,0.1%
Kao Corp.,4452,0.1%
Kone Oyj Class B,KNEBV,0.1%
Societe Generale S.A. Class A,GLE,0.1%
Panasonic Corporation,6752,0.1%
Holcim Ltd,HOLN,0.1%
"Shiseido Company,Limited",4911,0.1%
Veolia Environnement SA,VIE,0.09%
"Dai-ichi Life Holdings,Inc.",8750,0.09%
Coloplast A/S Class B,COLO.B,0.09%
Aviva plc,AV,0.09%
SEGRO plc,SGRO,0.09%
"Techtronic Industries Co., Ltd.",669,0.09%
Hyundai Motor Company,005380,0.09%
Credit Suisse Group AG,CSGN,0.09%
Cenovus Energy Inc.,CVE,0.09%
Wheaton Precious Metals Corp,WPM,0.09%
Terumo Corporation,4543,0.09%
Magna International Inc.,MG,0.09%
Fortis Inc.,FTS,0.09%
Genmab A/S,GMAB,0.09%
Komatsu Ltd.,6301,0.09%
KBC Group N.V.,KBC,0.09%
Olympus Corp.,7733,0.09%
Intact Financial Corporation,IFC,0.09%
Sonova Holding AG,SOON,0.09%
"Mitsui Fudosan Co., Ltd.",8801,0.09%
Woodside Petroleum Ltd,WPL,0.09%
Kubota Corporation,6326,0.09%
Fortescue Metals Group Ltd,FMG,0.09%
East Japan Railway Company,9020,0.09%
Imperial Brands PLC,IMB,0.09%
Amcor PLC Shs Chess Depository Interests,AMC,0.08%
"JAPAN POST HOLDINGS Co., Ltd.",6178,0.08%
Siemens Healthineers AG,SHL,0.08%
Shimano Inc.,7309,0.08%
Suzuki Motor Corp.,7269,0.08%
BT Group plc,BT.A,0.08%
ArcelorMittal SA,MT,0.08%
Kyocera Corporation,6971,0.08%
3i Group plc,III,0.08%
Swiss Life Holding AG,SLHN,0.08%
Kerry Group Plc Class A,KRZ,0.08%
Rogers Communications Inc. Class B,RCI.B,0.08%
"Daiwa House Industry Co., Ltd.",1925,0.08%
Evolution AB,EVO,0.08%
Akzo Nobel N.V.,AKZA,0.08%
"Shionogi & Co., Ltd.",4507,0.08%
CK Hutchison Holdings Ltd,1,0.08%
Universal Music Group N.V.,UMG,0.08%
Aristocrat Leisure Limited,ALL,0.08%
Pembina Pipeline Corporation,PPL,0.08%
Roche Holding AG,RO,0.08%
A.P. Moller - Maersk A/S Class B,MAERSK.B,0.08%
Standard Chartered PLC,STAN,0.08%
Sumitomo Corporation,8053,0.08%
CGI Inc. Class A,GIB.A,0.08%
UPM-Kymmene Oyj,UPM,0.08%
"Mitsubishi Estate Company, Limited",8802,0.08%
KB Financial Group Inc.,105560,0.08%
Porsche Automobil Holding SE Pref,PAH3,0.07%
CLP Holdings Limited,2,0.07%
Bank Leumi Le-Israel Ltd.,LUMI,0.07%
Straumann Holding AG,STMN,0.07%
arGEN-X SE,ARGX,0.07%
South32 Ltd.,S32,0.07%
"Shinhan Financial Group Co., Ltd.",055550,0.07%
"M3, Inc.",2413,0.07%
Repsol SA,REP,0.07%
Dollarama Inc.,DOL,0.07%
Link Real Estate Investment Trust,823,0.07%
ASM International N.V.,ASM,0.07%
Credit Agricole SA,ACA,0.07%
Swedbank AB Class A,SWED.A,0.07%
Kia Corporation,000270,0.07%
Essity AB Class B,ESSITY.B,0.07%
Symrise AG,SY1,0.07%
"MS&AD Insurance Group Holdings, Inc.",8725,0.07%
SGS SA,SGSN,0.07%
Nippon Yusen Kabushiki Kaisha,9101,0.07%
Toshiba Corporation,6502,0.07%
Kingspan Group Plc,KRX,0.07%
NatWest Group Plc,NWG,0.07%
Advantest Corp.,6857,0.07%
Smith & Nephew PLC,SN,0.07%
"AEON Co., Ltd.",8267,0.07%
Publicis Groupe SA,PUB,0.07%
Thomson Reuters Corporation,TRI,0.07%
BCE Inc.,BCE,0.07%
Newcrest Mining Limited,NCM,0.07%
Skandinaviska Enskilda Banken AB Class A,SEB.A,0.07%
Coles Group Ltd.,COL,0.07%
Power Corporation of Canada,POW,0.07%
Teck Resources Limited Class B,TECK.B,0.07%
Sysmex Corporation,6869,0.07%
Atlas Copco AB Class B,ATCO.B,0.07%
Marubeni Corporation,8002,0.07%
Swisscom AG,SCMN,0.07%
Restaurant Brands International Inc,QSR,0.07%
Hong Kong & China Gas Co. Ltd.,3,0.07%
NN Group N.V.,NN,0.07%
WPP Plc,WPP,0.07%
"Asahi Group Holdings,Ltd.",2502,0.07%
NIPPON STEEL CORP.,5401,0.07%
Neste Corporation,NESTE,0.07%
Santos Limited,STO,0.07%
First Quantum Minerals Ltd.,FM,0.07%
Sun Hung Kai Properties Limited,16,0.07%
POSCO Holdings Inc.,005490,0.07%
ENGIE SA. TEMP,Other,0.07%
James Hardie Industries PLC Chess Units of Foreign Securities,JHX,0.06%
Henkel AG & Co. KGaA Pref,HEN3,0.06%
Fresenius SE & Co. KGaA,FRE,0.06%
OMRON Corporation,6645,0.06%
Metro Inc.,MRU,0.06%
Julius Baer Gruppe AG,BAER,0.06%
Bank Hapoalim BM,POLI,0.06%
