Summary data collected by the Greenhouse Gas Reporting Program for 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 08/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),GHG Quantity Associated with Coal-based liquid fuel production,GHG Quantity Associated with Petroleum Products Produced,GHG Quantity Associated with Petroleum Products Imported,GHG Quantity Associated with Petroleum Products Exported,GHG Quantity Associated with Natural Gas Supply,GHG Quantity Associated with Natural Gas Liquids Supply,GHG Quantity Associated with CO2 Supply ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003292,110069709113,Avista Corporation-OR,Spokane,WA,99220,1411 E Mission,SPOKANE COUNTY,47.66,-117.39,221210,NN-LDC,,,,,691302.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003050,110069709113,Avista Corporation-WA,Spokane,WA,99220,1411 E. Mission,SPOKANE COUNTY,47.66,-117.39,221210,"NN-LDC,W-LDC",,,,,1379315.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002032,110038166365,BADGER STATE ETHANOL,MONROE,WI,53566,820 West 17th Street,GREEN COUNTY,42.5949,-89.66691,325193,"C,II,PP",,,,,,,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002943,110021174744,"BARGATH, INC.- PARACHUTE","PARACHUTE, 3.4 MI NW OF",CO,81635,,GARFIELD COUNTY,39.487297,-108.111356,211130,"C,PP,W-PROC",,,,,,,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013857,,"BB Energy USA, LLC",Houston,TX,77019,2229 San Felipe Street STE 1075,,29.7498010742552,-95.4146892489806,424720,MM-IMP,,,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007035,110024375861,BERKSHIRE GAS PITTSFIELD,PITTSFIELD,MA,01201,115 Chesire Rd.,BERKSHIRE COUNTY,42.4725,-73.20417,221210,NN-LDC,,,,,535791.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006961,110013314323,BIG SPRING REFINERY,BIG SPRING,TX,79720,200 REFINERY RD; INTERSECTION OF I-20 & REFINERY RD,HOWARD COUNTY,32.269104,-101.417673,324110,"C,MM-REF,TT,Y",,28470580.3761307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009068,110000468921,BIG WEST OIL LLC,NORTH SALT LAKE,UT,84054,333 WEST CENTER STREET,DAVIS COUNTY,40.838386,-111.921443,324110,"C,MM-REF,Y",,4595109.62223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010267,110054931428,"BMW of North America, LLC",Woodcliff Lake,NJ,07677,200 Chestnut Ridge Road,BERGEN COUNTY,41.02883,-74.072177,423110,QQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007994,110000427501,BOISE WHITE PAPER LLC,INTERNATIONAL FALLS,MN,56649,400 2ND STREET,KOOCHICHING COUNTY,48.606,-93.4071,322121,"AA,C,PP",,,,,,,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002963,110000369280,BOISE WHITE PAPER MILL,JACKSON,AL,36545,4585 INDUSTRIAL RD.,CLARKE COUNTY,31.492253,-87.898805,322121,"AA,C,II,PP,TT",,,,,,,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004091,110030562772,"BONANZA BIOENERGY, LLC",GARDEN CITY,KS,67846,2830 E US HIGHWAY 50,FINNEY COUNTY,37.958639,-100.836,325193,"C,PP",,,,,,,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013596,110070715991,BONNIE VIEW FRACTIONATION PLANT,Bonnie View,TX,78393,,REFUGIO COUNTY,28.155821,-97.23293,211130,NN-FRAC,,,,,,414651.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006301,110042005843,BORGER REFINERY,BORGER,TX,79008,,HUTCHINSON COUNTY,35.70306,-101.36305,324110,"C,MM-REF,P,TT,Y",,18691166.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006468,110000490157,BP CHERRY POINT REFINERY,BLAINE,WA,98230,4519 GRANDVIEW ROAD,WHATCOM COUNTY,48.884,-122.735,324110,"C,MM-REF,P,PP,Y",,29324010.9510253,,,,,confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
