Summary data collected by the Greenhouse Gas Reporting Program for 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 08/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab),,,,,,,,,,,,,,Total Emissions from Gathering & Boosting by Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,Basin,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Industry Type (subparts),Total reported emissions from Gathering & Boosting,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012145,110070209517,"CH4-Finley Operating, LLC - Uinta Basin (575) Gas Gathering Stations",575 - Uinta Basin,Fort Worth,TX,76109,"5128 Apache Plume Road, Suite 300",TARRANT COUNTY,39.74497,-104.98943,486210,W-GB,"52,938.49","45,420.80","7,493.25",24.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012761,110070069804,CNX Gas Company LLC - 160 Appalachian Basin - GB,160 - Appalachian Basin,Canonsburg,PA,15317,1000 CONSOL Energy Drive,WASHINGTON COUNTY,40.27724,-80.16623,213112,W-GB,247.85,0.10,247.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012729,110070069804,CNX Gas Company LLC - 160A Appalachian Basin Eastern Overthrust Area - GB,160A - Appalachian Basin (Eastern Overthrust Area),Canonsburg,PA,15317,1000 CONSOL Energy Drive,WASHINGTON COUNTY,40.27724,-80.16623,213112,W-GB,"130,111.13","6,269.60","123,838.25",3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012762,110070069804,CNX Midstream Operating Company LLC - 160A Appalachian Basin Eastern Overthrust Area - GB,160A - Appalachian Basin (Eastern Overthrust Area),Canonsburg,PA,15317,1000 CONSOL Energy Drive,WASHINGTON COUNTY,40.27724,-80.16623,486210,W-GB,"238,726.87","206,968.10","31,642.25",116.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013712,110058239106,CRI 395 G&B Williston,395 - Williston Basin,Oklahoma City,OK,73102,20 N. Broadway,OKLAHOMA COUNTY,35.46735,-97.5145,211120,W-GB,"37,622.54","27,471.90","10,134.25",16.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012360,110070082250,CRPC - San Joaquin Valley Gathering and Boosting,745 - San Joaquin Basin,Bakersfield,CA,93311,"900 Old River Road, Plaza",,35.1268513,-119.1855785,211120,W-GB,"1,032,111.94","898,912.20","132,669.00",530.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012361,110070082251,CRPC – Sacramento Valley Basin Gathering and Boosting,730 - Sacramento Basin,Bakersfield,CA,93311,"900 Old River Road, Plaza",,35.1268513,-119.1855785,211130,W-GB,"160,583.30","81,749.40","78,789.50",44.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013095,110070225653,"Caerus Energy Services, LLC",595 - Piceance Basin,Denver,CO,80202,1001 17th Street,DENVER COUNTY,39.74846,-104.99402,211130,W-GB,"173,580.51","83,068.60","90,461.25",50.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012348,110070082244,California Resources Production Corporation- LA Basin Gathering and Boosting,760 - Los Angeles Basin,Long Beach,CA,90802,"1 World Trade Center, Suite 1500",,33.7415317,-118.1941785,211120,W-GB,"244,800.52","231,954.70","12,715.00",130.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012351,110070082245,California Resources Production Corporation- Ventura Basin Gathering and Boosting,755 - Ventura Basin,Ventura,CA,93001,2575 Vista Del Mar Drive,,34.2769462,-119.2769253,211120,W-GB,"44,272.47","27,133.90","17,127.25",11.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
