Summary data collected by the Greenhouse Gas Reporting Program for 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 08/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab),,,,,,,,,,,,,,Total Emissions from Onshore Oil & Gas Production by Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,Basin,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Industry Type (subparts),Total reported emissions from Onshore Oil & Gas Production ,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,Does the facility employ continuous emissions monitoring? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009845,110043482601,Anadarko Basin,360 - Anadarko Basin,Irving,TX,75039,5221 N O'Connor Blvd. 11th Floor,HARRIS COUNTY,29.73177,-95.43444,211130,W-ONSH,"56,612.00","39,065.70","17,524.25",22.05,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013264,,Anschutz Exploration Corporation - Powder River Basin,515 - Powder River Basin,Denver,CO,80202,555 17th Street Suite 2400,,43.73495,-105.404,211120,W-ONSH,"35,619.55","33,084.70","2,512.50",22.35,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010718,,Antero Resources - 160 - Appalachian Basin (Utica),160 - Appalachian Basin,Denver,CO,80202,1615 Wynkoop Street,,39.7541032,-105.0002242,211120,W-ONSH,"32,302.42","7,378.30","24,920.25",3.87,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010183,110012364967,Antero Resources - 160A - Appalachian Basin (Eastern Overthurst Area),160A - Appalachian Basin (Eastern Overthrust Area),Denver,CO,80202,1615 Wynkoop Street,DENVER COUNTY,39.75231,-104.99906,211120,W-ONSH,"366,201.37","169,106.40","196,800.25",294.72,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008224,110054095402,Apache Corporation - Gulf Coast Basin 220,"220 - Gulf Coast Basin (LA, TX)",Houston,TX,77056,"2000 Post Oak, Suite 100",HARRIS COUNTY,29.74592,-95.55962,211130,W-ONSH,"40,376.30","30,295.70","10,066.00",14.60,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009391,110034987566,Apache Corporation - Permian Basin 430,430 - Permian Basin,Houston,TX,77056,"2000 Post Oak Blvd, Suite 100",MIDLAND COUNTY,32.03544,-102.08652,211120,W-ONSH,"512,564.96","419,075.40","92,932.00",557.56,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010721,110045615205,Appalachian Basin (Eastern Overthrust Area),160A - Appalachian Basin (Eastern Overthrust Area),Spring,TX,77389,10000 Energy Dr,HARRIS COUNTY,29.93876,-95.3509,211130,W-ONSH,"1,005,178.53","640,954.60","363,431.25",792.68,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008937,110038071181,Appalachian Basin - AAPG Province 160A,160A - Appalachian Basin (Eastern Overthrust Area),Williamsport,PA,17701,"33 West Third Street, Suite 300",,41.241182,-77.0010648,211130,W-ONSH,"130,253.46","39,318.40","90,840.00",95.06,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010205,110045615205,Arkoma Basin,345 - Arkoma Basin,OKC,OK,73102,621 N. Robinson Ave. - Ste. 300,,29.93876,-95.3509,211130,W-ONSH,"374,546.07","23,391.80","351,141.75",12.52,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013344,,"Armor Energy, LLC","220 - Gulf Coast Basin (LA, TX)",Tulsa,OK,74146,"4500 S. Garnett Road, Suite 250",,30.27112,-96.7783,211120,W-ONSH,"15,977.57","13,436.00","2,536.50",5.07,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002978,110001187705,Arroyo Grande Production Facility,740 - Coastal Basins,SAN LUIS OBISPO,CA,93401,1821 PRICE CANYON ROAD,SAN LUIS OBISPO COUNTY,35.1814,-120.61965,211120,W-ONSH,"72,646.60","71,715.60",878.25,52.75,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008795,110055514518,"Arsenal Resources, LLC 160A Appalachian Basin",160A - Appalachian Basin (Eastern Overthrust Area),Wexford,PA,15090,"6031 Wallace Road Ext, Suite 300",HARRISON COUNTY,39.301158,-80.209822,211130,W-ONSH,"23,193.16","9,887.00","13,300.50",5.66,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011393,110062541478,Ascent Resources - Utica (160),160 - Appalachian Basin,Oklahoma City,OK,73113,PO Box 13678,,35.565478,-97.518049,211120,W-ONSH,"83,670.55","48,597.80","35,013.75",59.00,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011454,110063234815,Ascent Resources - Utica (160a),160A - Appalachian Basin (Eastern Overthrust Area),Oklahoma City,OK,73113,PO Box 13678,,35.565478,-97.518049,211120,W-ONSH,"421,013.03","147,162.60","273,616.50",233.93,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013091,,Australis TMS Inc. 210 Mid-Gulf Coast Basin,210 - Mid-Gulf Coast Basin,Houston,TX,77002,"333 Clay Street, Suite 3680",,29.752554,-95.3704009,211120,W-ONSH,"27,569.36","25,478.70","2,077.25",13.41,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007807,110067216060,BADAMI DEVELOPMENT FACILITY,,Badami Unit,AK,99734,"70.151006 N, -147.097267 W",NORTH SLOPE BOROUGH,70.150997,-147.097369,211120,W-ONSH,"13,871.51","13,686.20",172.50,12.81,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011534,110063697236,BBOG Gulf Coast Basin #220,"220 - Gulf Coast Basin (LA, TX)",San Antonio,TX,78258,"18615 Tuscany Stone, STE 300",BEXAR COUNTY,29.61182,-98.49029,211120,W-ONSH,"70,786.29","44,376.60","26,385.25",24.44,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013123,,BCE-Mach III LLC,360 - Anadarko Basin,Oklahoma City,OK,73134,14201 Wireless Way St 300,,35.6131551,-97.6385368,211120,W-ONSH,"253,957.41","217,346.50","36,493.50",117.41,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
